question_id,display_id,stem_markdown_preview,curriculum_theme_model,knowledge_unit_model,skill_tags_model,primary_knowledge_model,primary_confidence,runner_up_primary,classification_margin,tag_evidence,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
exam_7bee64bb5191_q001,EXAM-7BEE64BB5191-Q001,"### 1. 一辆汽车在笔直的公路上行驶，位移关于时间的函数图象如图所示，给出下列四个结论： ①汽车在 $[0,t_{1}]$ 时间段内每一时刻的瞬时速度相同；",T7导数,U7.1 导数概念与几何意义（切线）,平均变化率；瞬时变化率；导数定义,导数与微分·导数定义·平均变化率与瞬时变化率,0.94,导数与微分·切线方程·求切线,0.854,瞬时变化率；瞬时变化率,,,3,,model_estimated,数形结合,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q002,EXAM-7BEE64BB5191-Q002,"### 2. 函数 $f(x) = x^{2} - x$ 在区间[1,3]上的平均变化率为（） A. 6 B. 3 C. 2 D. 1",T7导数,U7.1 导数概念与几何意义（切线）,平均变化率；瞬时变化率；导数定义,导数与微分·导数定义·平均变化率与瞬时变化率,0.865,导数与微分·求导运算·基本函数求导,1.0,平均变化率,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q003,EXAM-7BEE64BB5191-Q003,### 3. 若函数 $f(x)$ 的导函数 $f'(x)$ 存在，且 $\lim_{\Delta x \to 0} \frac{f(1 - \Delta x),T7导数,U7.1 导数概念与几何意义（切线）,平均变化率；瞬时变化率；导数定义,导数与微分·导数定义·平均变化率与瞬时变化率,0.846,导数与微分·求导运算·基本函数求导,0.254,导数极限；导数极限；增量 Δx；增量 Δx,,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,3,,model_estimated,逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q004,EXAM-7BEE64BB5191-Q004,### 4. 函数 $f(x)$ 的导函数 $f'(x)$ ，满足关系式 $f(x)=x^{2}+2xf'(2)-\ln x$ ，则 $f'(2)$ 的值为（）,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.98,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,求导；求导；导数符号；导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q005,EXAM-7BEE64BB5191-Q005,### 5. 点 $P$ 在曲线 $y = x^3 - x + \frac{2}{3}$ 上，设曲线在点 $P$ 处切线的倾斜角为 $\alpha$ ，则角 $,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.736,导数与微分·求导运算·基本函数求导,0.268,切线；斜率,,,3,,model_estimated,数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_7bee64bb5191_q006,EXAM-7BEE64BB5191-Q006,### 6. 若点 $P$ 是曲线 $y = \ln x - x^2$ 上任意一点，则点 $P$ 到直线 $l: x + y - 4 = 0$ 距离的最小值为（,T7导数,U7.4 导数与极值/最值,利用导数求最值；端点与极值比较；函数建模最值,导数应用·极值与最值·求最值,0.848,导数与微分·切线方程·求切线,0.266,最大/最小值；建模最值；建模最值；解析包含导数方法,,,3,,model_estimated,数形结合,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_7bee64bb5191_q007,EXAM-7BEE64BB5191-Q007,### 7. 函数 $y = f(x)$ 的导数 $y = f'(x)$ 仍是 $x$ 的函数，通常把导函数 $y = f'(x)$ 的导数叫做函数的二阶导数，,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.943,函数综合·函数性质·奇偶性与周期性,0.795,求导；导数符号；导数,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q008,EXAM-7BEE64BB5191-Q008,### 8. 已知直线 $y = kx + b$ 既是曲线 $y = \ln x$ 的切线，也是曲线 $y = -\ln (-x)$ 的切线，则（） A. $k,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.945,导数与微分·求导运算·基本函数求导,0.805,切线方程；相切/切点；切线；切线,,,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_7bee64bb5191_q009,EXAM-7BEE64BB5191-Q009,### 9. 下列求导运算正确的是（） A. $(\ln7)' = \frac{1}{7}$ B. $[(x^{2}+2)\sin x]' = 2x\sin x,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.874,函数综合·函数性质·奇偶性与周期性,0.731,求导；导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q010,EXAM-7BEE64BB5191-Q010,"### 10. 已知定义在 $R$ 上的偶函数 $f(x)$ 满足 $f(0) = 2, f(3 - x) + f(x) = 1$ ，设 $f(x)$ 在 $R",T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.824,导数与微分·求导运算·基本函数求导,0.136,函数奇偶性；函数奇偶性；周期,,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q011,EXAM-7BEE64BB5191-Q011,"### 11. 已知定义在 $\mathbf{R}$ 上的函数 $f(x), g(x)$ 的导函数分别为 $f'(x), g'(x)$ ，且 $f(x) = f",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.867,函数综合·函数性质·奇偶性与周期性,0.374,求导；导数符号；导数符号,,,3,,model_estimated,数形结合,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q012,EXAM-7BEE64BB5191-Q012,### 12. 写出一个同时具有下列性质①②③的函数 $f(x)$ : \_\_\_\_. ① $f(x_{1}x_{2})=f(x_{1})f(x_{2})$,T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.852,导数与微分·求导运算·基本函数求导,0.364,函数奇偶性；函数奇偶性,,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,3,,model_estimated,逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q013,EXAM-7BEE64BB5191-Q013,### 13. 若曲线 $y = (x + a)e^{x}$ 有两条过坐标原点的切线，则 $a$ 的取值范围是 \_\_\_\_.,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.948,导数与微分·求导运算·基本函数求导,0.82,切线方程；相切/切点；切线；切线；斜率,,,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_7bee64bb5191_q014,EXAM-7BEE64BB5191-Q014,"### 14. 已知函数 $f(x) = |e^x - 1|, x_1 < 0, x_2 > 0$ ，函数 $f(x)$ 的图象在点 $A(x_1, f(x_1",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.643,导数与微分·切线方程·求切线,0.006,导数符号,,,3,,model_estimated,数形结合；分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_7bee64bb5191_q015,EXAM-7BEE64BB5191-Q015,### 15. 求下列函数的导数: (1) $y = \mathrm{e}^{-x}(x + 1)^{2};$ (2) $y = \cos(3x - 1) - ,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.831,函数综合·函数性质·奇偶性与周期性,0.67,导数符号；导数,,,3,,model_estimated,运算求解；逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
