question_id,display_id,priority,confidence,primary_confidence,classification_margin,runner_up,primary_knowledge,secondary_knowledge,ability_tags,difficulty,difficulty_basis,flags,stem_preview
exam_7bee64bb5191_q003,EXAM-7BEE64BB5191-Q003,high,0.857,0.846,0.254,导数与微分·求导运算·基本函数求导,导数与微分·导数定义·平均变化率与瞬时变化率,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,逻辑推理,3,model_estimated,unreviewed；casework_ability_missing,### 3. 若函数 $f(x)$ 的导函数 $f'(x)$ 存在，且 $\lim_{\Delta x \to 0} \frac{f(1 - \Delta x) - f(1)}{2\Delta x} = 4$ ，则 $f'(1) = (\q
exam_7bee64bb5191_q005,EXAM-7BEE64BB5191-Q005,medium,0.768,0.736,0.268,导数与微分·求导运算·基本函数求导,导数与微分·切线方程·求切线,,数形结合；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,"### 5. 点 $P$ 在曲线 $y = x^3 - x + \frac{2}{3}$ 上，设曲线在点 $P$ 处切线的倾斜角为 $\alpha$ ，则角 $\alpha$ 的取值范围是（） A. $\left[0, \frac{\pi}"
exam_7bee64bb5191_q014,EXAM-7BEE64BB5191-Q014,high,0.69,0.643,0.006,导数与微分·切线方程·求切线,导数与微分·求导运算·基本函数求导,,数形结合；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low,"### 14. 已知函数 $f(x) = |e^x - 1|, x_1 < 0, x_2 > 0$ ，函数 $f(x)$ 的图象在点 $A(x_1, f(x_1))$ 和点 $B(x_2, f(x_2))$ 的两条切线互相垂直，且分别交 $"
exam_7bee64bb5191_q016,EXAM-7BEE64BB5191-Q016,high,0.947,0.946,0.813,导数与微分·求导运算·基本函数求导,导数与微分·切线方程·求切线,,运算求解；逻辑推理；数形结合,3,model_estimated,unreviewed；casework_ability_missing,### 16. 已知函数 $F(x) = \mathrm{e}^{x - 1} + \frac{1}{3} x$ ， $G(x) = -x + m\sin x (m \neq 0)$ . (1)求函数 $F(x)$ 图象在x=1处的切线方程
exam_ed507f8efdc5_q003,EXAM-ED507F8EFDC5-Q003,medium,0.764,0.736,0.268,导数与微分·求导运算·基本函数求导,导数与微分·切线方程·求切线,,数形结合,3,model_estimated,unreviewed；confidence_below_0.8,"### 3. 曲线 $y = x\mathrm{e}^{x} - x$ 在点 $P$ 处切线的斜率为-1，则 $P$ 的坐标为（） A. $(-1, -1)$ B. $\left(-1, 1 - \frac{1}{\mathrm{e}}\r"
exam_ed507f8efdc5_q007,EXAM-ED507F8EFDC5-Q007,medium,0.769,0.737,0.271,导数与微分·求导运算·基本函数求导,导数应用·单调性·判断单调区间,,运算求解；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,"### 7. 已知 $a = \sin 0.5, b = 3^{0.5}, c = \log_{0.3} 0.5$ ，则 $a, b, c$ 的大小关系是（） A. $a < b < c$ B. $a < c < b$ C. $c < a "
exam_ed507f8efdc5_q014,EXAM-ED507F8EFDC5-Q014,medium,0.728,0.688,0.0,导数应用·不等式证明·构造函数证明,导数应用·单调性·判断单调区间,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,运算求解；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low,"### 14. 已知对任意 $x_{1}, x_{2} \in (0, +\infty)$ ，且当 $x_{1} < x_{2}$ 时，都有 $\frac{a(\ln x_{2} - \ln x_{1})}{x_{2} - x_{1}} <"
exam_ed507f8efdc5_q015,EXAM-ED507F8EFDC5-Q015,high,0.902,0.888,0.487,导数应用·单调性·判断单调区间,导数与微分·切线方程·求切线,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导；T7导数·U7.3 导数与函数单调性·导数符号判断,运算求解；逻辑推理；数形结合,3,model_estimated,unreviewed；casework_ability_missing,"### 15. 已知函数 $f(x) = \frac{e^x - a}{x} - a\ln x (a \in R)$ . (1)求曲线 $y=f(x)$ 在点 $(1,f(1))$ 处的切线方程; (2)求 $f(x)$ 的单调区间."
exam_f6e940cd31a8_q004,EXAM-F6E940CD31A8-Q004,medium,0.781,0.779,0.385,导数应用·零点问题·函数零点个数,函数综合·函数性质·奇偶性与周期性,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,### 4. 设 $f(x) = x - \sin x$ ，则 $f(x) =$ A. 既是奇函数又是减函数 B. 既是奇函数又是增函数 C. 是有零点的减函数 D. 是没有零点的奇函数
exam_f6e940cd31a8_q005,EXAM-F6E940CD31A8-Q005,medium,0.821,0.803,0.017,函数综合·函数性质·奇偶性与周期性,导数与微分·求导运算·基本函数求导,T2函数·U2.1 函数概念与性质（单调/奇偶/周期）·构造函数,分类讨论,3,model_estimated,unreviewed；classification_margin_low,### 5. 设函数 $f'(x)$ 是奇函数 $f(x) (x \in \mathbf{R})$ 的导函数， $f(-1) = 0$ ，当 $x > 0$ 时， $xf'(x) - f(x) < 0$ ，则使得 $f(x) > 0$ 成立
exam_f6e940cd31a8_q006,EXAM-F6E940CD31A8-Q006,high,0.691,0.672,0.111,导数应用·极值与最值·求极值,导数应用·极值与最值·求最值,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low,"### 6. 若 $a > 0, b > 0$ ，且函数 $f(x) = 4x^{3} - ax^{2} - 2bx + 2$ 在 $x = 1$ 处有极值，则 $ab$ 的最大值等于 A. 2 B. 3 C. 6 D. 9"
exam_f6e940cd31a8_q010,EXAM-F6E940CD31A8-Q010,medium,0.747,0.707,0.222,导数应用·单调性·判断单调区间,导数应用·极值与最值·求极值,T7导数·U7.3 导数与函数单调性·导数符号判断,运算求解；逻辑推理；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,"### 10. 已知函数 $f(x) = 2^x$ ， $g(x) = x^2 + ax$ （其中 $a \in R$ ）。对于不相等的实数 $x_1, x_2$ ，设 $m = \frac{f(x_1) - f(x_2)}{x_1 - x"
exam_f6e940cd31a8_q011,EXAM-F6E940CD31A8-Q011,medium,0.839,0.817,0.096,导数应用·零点问题·函数零点个数,导数应用·极值与最值·求极值,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导；T7导数·U7.3 导数与函数单调性·导数符号判断,运算求解；逻辑推理；分类讨论,3,model_estimated,unreviewed；classification_margin_low,### 11. 设函数 $f(x) = 2x^{3} - 3ax^{2} + 1$ ，则 A. 当 $a > 1$ 时， $f(x)$ 有三个零点 B. 当 $a < 0$ 时， $x = 0$ 是 $f(x)$ 的极大值点 C. 存在 $
