question_id,stem_markdown_preview,primary_knowledge_model,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
szzx2024_g2_homework_q001,1．下列导数运算正确的是（ ） A．$(lnx+cosx)^'=(1)/(x)+sinx$ B．$(sqrt(x))^'=(1)/(sqrt(x))$ C．若$,函数综合·函数性质·奇偶性与周期性,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
szzx2024_g2_homework_q002,"2．设$a∈R$，若函数$f(x)=(2)/(3)x^3-(a)/(2)x^2+x+2$在$(1,2)$内存在极值点，则a的取值范围是（ ） A．$[3,(9)",导数应用·极值与最值·求极值,,,3,,model_estimated,逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q003,3．已知$P(B)=0.4$，$P(B|A)=0.8$，$P(B|A)=0.3$，则$P(A)=$（ ）． A．$(3)/(4)$ B．$(3)/(8)$ C．,概率统计·概率模型·全概率公式,,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q004,"4．已知随机变量$X$的分布列为 设函数$f(x)=P(X<x)$，若$x∈[0,2]$，则函数$f(x)$的值域为（ ） A．${0.2}$ B．${0.3}",概率统计·概率模型·全概率公式,,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q005,"5．设$m∈(0,1)$，随机变量$X$的分布列为 则（ ） A．$D(X)$在$(0,1)$上单调递增 B．$D(X)$在$(0,1)$上单调递减 C．$D(",概率统计·概率模型·全概率公式,,导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；分类讨论,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q006,6．当前，AI已从一个研究领域变成一类赋能技术．在医药健康领域，AI已应用于靶点发现、药物设计及临床试验等方面，显著提升了科研效率．假设某实验室AI辅助新药分子,概率统计·概率模型·全概率公式,,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q007,7．已知函数$f(x)=e^x-aln(ax-a)+a(a>0)$，若对于任意的$x>1$使得不等式$f(x)≥0$成立，则实数$a$的取值范围（ ） A．$(,导数应用·单调性·判断单调区间,,函数综合·函数构造·构造函数证不等式,3,,model_estimated,运算求解；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q008,"8．已知函数$f(x)=x+(a)/(2x)$，过点$(1)$作曲线$f(x)$的两条切线，切点为$A(x_1,f(x_1)),B(x_2,f(x_2))$，其",导数与微分·切线方程·求切线,,,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
szzx2024_g2_homework_q009,9．某班开设了“打球”“弹琴”“跳舞”“唱歌”4个课外活动项目．在一次活动中，甲、乙、丙3名学生每人至少选1个、至多选2个项目，且每个项目恰有1人选择．设事件$,概率统计·概率模型·全概率公式,,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q010,10．下列不等关系中，正确的是（ ） A．$ln2<(2)/(e)$ B．$(ln3)/(lnπ)<(3)/(π)$ C．$(e)/(2)>ln3$ D．$sq,导数应用·单调性·判断单调区间,,导数与微分·求导运算·基本函数求导,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q011,"11．已知函数$f(x)=a^2x-x(a>0, a≠1)$，则下列结论中正确的是（ ） A．函数$f(x)$恒有1个极值点 B．当$a=e$时，曲线$y=f(",概率统计·概率模型·全概率公式,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间；导数应用·极值与最值·求最值,3,,model_estimated,运算求解；逻辑推理；数形结合,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
szzx2024_g2_homework_q012,"12．函数$f(x)=(1)/(2)x-sinx$在$[0,(π)/(2)]$上的最大值为________.",导数应用·极值与最值·求最值,,,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
szzx2024_g2_homework_q013,13．若函数$f(x)=lnx$与函数$g(x)=ax^2(a>0)$有两个公切线，则实数$a$取值范围是__________.,导数与微分·切线方程·求切线,,导数与微分·求导运算·基本函数求导；导数应用·单调性·判断单调区间,3,,model_estimated,运算求解；数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
